id,amount
95825,100
92618,250000
92618,250000
92618,250000
10001,250000
10001,250000
95121,100
92108,100
91711,100
20036,250000
94301,250000
94301,250000
94301,250000
94301,250000
94595,1000
94062,100
91773,100
96080,100
96080,25
94515,100
98115,100
95110,100
94553,100
94061,100
95815,250000
95121,100
95401,100
96003,100
96003,20
92024,1000
90272,100
95519,100
95519,100
93003,100
92014,100
94114,100
92211,100
90265,100
93737,100
92081,100
95628,100
90025,250
93433,100
91105,100
20036,500000
91042,100
94014,100
93117,100
94129,250000
94024,100
95603,100
91304,100
89169,500
94609,100
91105,100
90404,25
90404,100
70005,100
95816,100
95472,100
92285,250
65201,25
65201,25
65201,50
91307,100
91307,50
92069,100
90015,100
94803,100
95815,400000
91423,100
94925,100
94553,100
94521,100
94509,25
94509,100
92054,100
94904,100
95815,1000000
95815,2000000
95124,50
95124,50
95124,50
95124,50
92677,100
92629,100
95032,100
94107,100
90713,100
90266,100
94941,250
92067,100
92067,250
94122,100
95401,100
92037,100
94951,25
94708,100
92662,100
92662,100
90272,100
96003,10
94619,100
92106,250
94709,100
95123,1000
97302,100
94112,100
92014,25
90029,100
94578,100
94127,100
94596,100
91905,100
94110,100
95949,100
94062,500
93737,100
93737,10
93737,25
92081,100
92081,100
94941,100
94702,100
93602,100
91601,100
93108,100
90278,10
94501,100
94501,100
94501,25
93119,100
91105,100
91105,50
20036,750000
20036,250000
92103,50
92103,50
91750,100
91750,25
94014,100
94301,1250000
94301,4000000
94301,1000000
92024,100
94115,100
94062,100
95817,150
93021,100
93021,25
93021,50
89169,500
93622,100
95824,100
90803,100
19103,100
19103,250
95472,100
94803,100
92285,250
92285,100
92285,100
92285,64
93065,100
91307,25
95747,100
93023,100
94578,500
94610,25
94610,100
94610,50
94901,100
94583,100
94618,100
94583,100
83712,1000
94109,100
76266,200
91108,100
94523,50
93924,1000
94061,100
94521,100
94509,25
93420,100
90713,25
92067,250
60077,1000
95126,100
90272,100
94709,100
94530,100
95519,200
90402,100
93240,50
94030,100
91423,100
91304,25
95030,25
93737,25
92647,100
90278,25
94501,25
94501,25
90402,50
20036,250000
20036,550000
94131,100
95242,100
90046,10000
90638,100
95018,25
90404,25
94928,100
19103,500
92285,100
92285,500
92285,500
90017,50000
93065,25
93065,10
93727,100
93727,100
92069,100
91773,100
94541,100
94523,50
94523,-50
92620,25
92620,99
92620,99
20011,100
90069,25
90069,25
92506,500
94606,10000
90024,75000
80202,25000
94062,10000
94941,250
20036,65000
95124,25
95124,25
94129,200000
19103,25
94129,300000
23451,1000
92285,50
94118,10000
92069,25
94301,250000
33146,500000
33146,250000
10011,1000000
94301,1000000
92085,250000
98102,50000
33146,500000
90245,65000
92618,1000000
92618,-150000
95865,10000
95320,5000
91755,5000
92507,5000
95814,5000
95814,5000
95814,25000
94566,200
22314,10000
95814,1000
91773,10000
91350,100
92251,200
93003,300
95677,300
91784,100
95125,100
95814,5000
92652,100
95023,100
95630,200
91355,5000
90720,100
92563,100
91755,5000
93619,150
22314,36000
94563,100
92649,100
94002,150
22314,18150
95814,10000
94086,100
92705,500
91913,200
94920,100
95814,5000
95320,5000
94086,50
95818,12500
95685,250
95814,5000
95814,5000
95834,25000
92009,200
95815,25000
95865,10000
22314,200000
92064,100
22314,225000
91381,100
22314,400000
94063,1000
91775,130
91103,100
92821,500
92020,100
91604,100
94087,250
94526,150
90028,6500
95814,5000
90028,2500
78418,1000
90210,500
91601,1000
22314,500
90028,2500
91362,1000
91207,500
91202,2000
94087,200
91775,250
95818,12500
94087,300
95814,5000
94965,500
92037,100
94087,400
94557,250
75240,500
91775,250
94087,400
95401,100
91775,100
60173,2000
93921,100
95814,1000
20009,2000
940664638,100
946192009,100
949012468,100
922850298,1000
958163426,200
947091151,100
900461237,1000
94301,250000
941222939,100
99003,100
91107,5000
92595,1000
90067,5000
10016,5000
94129,250000
900642319,2500
90274,100
941174029,1800
363534054,100
92104,100
94595,1000
91104,250
73703,100
90292,2500
92037,500
95603,200
2860,6700
94066,100
90046,500
92821,1000
95123,100
95632,100
92651,100
95603,100
94129,200000
80236,100
64114,250
96003,100
92663,100
95350,100
93901,250
94110,100
80202,2500
92019,100
44145,2500
80211,100
33179,100
98005,25
98005,75
60015,100
80223,200
90504,100
63044,100
98104,100
85260,100
10023,110
10023,75
73034,100
94303,100
80301,200
80202,100
85260,100
94117,2500
95473,100
94115,100
94601,200
60516,100
80202,250
94609,200
94111,250
94024,100
94123,100
33602,100
94107,300
80304,100
80304,1000
94607,100
60035,2500
95060,100
95060,100
94612,100
95005,300
94110,100
97229,100
95646,100
95006,200
10011,100
94117,200
89106,100
V7J1V2,100
94601,100
19046,100
94530,100
94612,300
94610,100
94538,100
95062,200
94111,2500
94011,100
92705,100
10023,200
94612,100
2143,100
85255,100
92285,500
92264,300
94501,100
2111,200
80203,5000
2370,100
94546,100
92626,200
91362,200
95060,50
95060,50
93102,500
80021,100
48009,200
93001,100
92627,100
94804,200
T2P0R3,100
94104,200
92879,5000
90045,2500
33487,200
80205,625
48207,200
94607,100
93901,500
93901,100
80302,100
34668,100
94610,100
94601,150
98104,100
94110,100
20012,100
94621,300
94621,100
90066,100
11231,100
80302,200
95076,300
89102,400
95008,200
95404,100
19904,100
95482,100
80209,100
98406,100
91007,100
94707,200
20814,100
94117,500
94612,100
98124,100
94607,200
11215,100
43110,100
85258,100
90277,200
11746,100
60618,100
92688,100
94903,100
60640,100
92624,100
95060,100
80207,100
95815,300000
95815,420000
80211,100
11557,100
94702,100
94158,100
95521,200
94303,100
6831,100
91423,200
92705,500
80401,100
95448,100
92101,100
92624,100
80027,500
80211,100
89571,200
89511,100
94530,100
92660,200
93023,100
20009,400
33301,100
94115,500
80134,100
94601,100
85251,100
28217,200
30338,100
93003,100
63119,100
95819,3000
95819,250
95076,500
10003,100
95409,2500
94118,200
43202,100
94530,1000
98040,100
92532,2500
19087,200
19034,300
90004,100
94710,100
97205,200
94606,500
60654,300
80302,1000
90277,500
92101,250
92270,250
94002,100
90291,1000
20002,1000
92116,100
90077,500
94965,250
94595,250
90402,5000
91302,100
94114,500
90035,500
91104,100
44106,250
91104,50
94708,50
94708,50
94708,25
92692,100
92692,100
94112,250
94115,100
33612,150
90266,500
90404,100
94065,100
90035,5000
92101,100
92101,50
94110,100
94110,100
80212,1000
91344,100
94131,250
92104,100
94109,250
95066,250
94612,5000
90290,100
94903,250
92126,250
97035,1000
90803,500
95814,100
90064,100
90272,1000
92024,50
90046,100
94115,250
90291,250
94111,1500
94104,250
94115,5000
94133,25
94133,100
94707,300
94707,200
92508,100
91436,2500
94118,250
94102,250
94102,250
94960,100
90272,360
92705,500
90049,1000
94920,100
92663,300
90291,250
95632,100
90278,250
94619,100
91356,400
94110,100
90272,100
94024,150
94024,250
90272,250
94123,250
94133,250
90250,100
93110,100
92651,100
92651,50
91604,250
93003,100
93003,100
95819,50
10003,1000
90405,250
94704,100
94952,100
92532,420
94115,100
94949,100
91364,250
92024,100
95482,250
90210,1000
90028,500
90028,500
91801,100
94553,500
95959,100
95959,250
90402,25
90402,50
90402,50
60045,300
94025,100
94117,250
95492,200
90067,500
95350,50
95624,50
95624,50
95816,100
90210,250
94619,25
95060,100
95060,100
94709,100
94709,50
94559,250
90034,100
90069,2500
V7J1V2,-100
94118,500
94115,250
95128,100
75209,100
90272,250
94404,50
94583,200
90210,250
94111,250
93953,100
94606,350
94133,100
2067,200
95628,100
90068,500
92285,250
90731,250
90731,250
90026,250
90803,100
95448,100
94103,1500
60640,500
95060,50
93103,100
90039,50
90039,50
92104,100
T2P0R3,-100
94061,250
94706,250
90049,1000
80205,625
93436,100
94619,100
